Datetime,Condition,Temperature,Wind,Humidity,Visibility
2016-01-01 00:51:00,Overcast,5.6,7.4,51,16.1
2016-01-01 01:51:00,Overcast,5,5.6,53,16.1
2016-01-01 02:51:00,Overcast,5,7.4,55,16.1
2016-01-01 03:51:00,Overcast,5,14.8,55,16.1
2016-01-01 04:51:00,Overcast,4.4,16.7,58,16.1
2016-01-01 05:51:00,Overcast,4.4,11.1,58,16.1
2016-01-01 06:51:00,Overcast,3.9,0,60,16.1
2016-01-01 07:51:00,Overcast,3.9,11.1,57,16.1
2016-01-01 08:51:00,Partly Cloudy,3.9,11.1,55,16.1
2016-01-01 09:51:00,Overcast,4.4,7.4,55,16.1
2016-01-01 10:51:00,Overcast,4.4,9.3,53,16.1
2016-01-01 11:51:00,Overcast,4.4,14.8,51,16.1
2016-01-01 12:51:00,Overcast,4.4,22.2,51,16.1
2016-01-01 13:51:00,Overcast,4.4,11.1,51,16.1
2016-01-01 14:51:00,Overcast,3.9,18.5,49,16.1
2016-01-01 15:51:00,Overcast,3.9,18.5,46,16.1
2016-01-01 16:51:00,Clear,3.3,18.5,48,16.1
2016-01-01 17:51:00,Clear,3.3,13,48,16.1
2016-01-01 18:51:00,Partly Cloudy,2.8,20.4,50,16.1
2016-01-01 19:51:00,Clear,2.8,14.8,48,16.1
2016-01-01 20:51:00,Clear,2.2,11.1,50,16.1
2016-01-01 21:51:00,Clear,1.7,11.1,54,16.1
2016-01-01 22:51:00,Clear,1.7,9.3,52,16.1
2016-01-01 23:51:00,Clear,1.7,14.8,46,16.1
2016-01-02 00:51:00,Mostly Cloudy,1.1,9.3,46,16.1
2016-01-02 01:51:00,Clear,1.1,13,48,16.1
2016-01-02 02:51:00,Clear,1.1,13,50,16.1
2016-01-02 03:51:00,Clear,1.1,22.2,50,16.1
2016-01-02 04:51:00,Clear,0.6,16.7,54,16.1
2016-01-02 05:51:00,Clear,0.6,14.8,54,16.1
2016-01-02 06:51:00,Scattered Clouds,0.6,0,54,16.1
2016-01-02 07:51:00,Overcast,1.1,7.4,52,16.1
2016-01-02 08:51:00,Overcast,1.1,11.1,50,16.1
2016-01-02 09:51:00,Overcast,1.7,9.3,48,16.1
2016-01-02 10:51:00,Overcast,2.8,9.3,46,16.1
2016-01-02 11:51:00,Scattered Clouds,2.8,7.4,44,16.1
2016-01-02 12:51:00,Scattered Clouds,3.3,13,43,16.1
2016-01-02 13:51:00,Clear,3.9,13,43,16.1
2016-01-02 14:51:00,Clear,3.9,14.8,45,16.1
2016-01-02 15:51:00,Overcast,4.4,11.1,43,16.1
2016-01-02 16:51:00,Overcast,3.9,11.1,43,16.1
2016-01-02 17:51:00,Clear,2.8,9.3,44,16.1
2016-01-02 18:51:00,Clear,2.2,0,46,16.1
2016-01-02 19:51:00,Clear,2.2,11.1,46,16.1
2016-01-02 20:51:00,Clear,1.7,7.4,50,16.1
2016-01-02 21:51:00,Clear,2.2,7.4,48,16.1
2016-01-02 22:51:00,Clear,1.7,11.1,52,16.1
2016-01-02 23:51:00,Clear,2.2,13,52,16.1
2016-01-03 00:51:00,Clear,1.7,0,54,16.1
2016-01-03 01:51:00,Clear,2.2,18.5,52,16.1
2016-01-03 02:51:00,Clear,2.2,11.1,52,16.1
2016-01-03 03:51:00,Clear,2.2,11.1,52,16.1
2016-01-03 04:51:00,Clear,2.8,11.1,50,16.1
2016-01-03 05:51:00,Clear,2.2,7.4,52,16.1
